Fuente Concat,Finalidad,Unidad Responsable,Monto ejercido
Financiamientos Internos,Desarrollo Económico,Delegación Álvaro Obregón,0
Financiamientos Internos,Desarrollo Económico,Delegación Miguel Hidalgo,0
Financiamientos Internos,Desarrollo Económico,Delegación Milpa Alta,0
Financiamientos Internos,Desarrollo Económico,Fondo Para Las Acciones De Reconstrucción Y Para Otras Previsiones,0
Financiamientos Internos,Desarrollo Económico,Secretaría De Obras Y Servicios,253461916.9
Financiamientos Internos,Desarrollo Económico,Sistema De Transporte Colectivo Metro,143549246.7
Financiamientos Internos,Desarrollo Social,Agencia De Gestión Urbana De La Ciudad De México,1049939450
Financiamientos Internos,Desarrollo Social,Autoridad Del Espacio Público,0
Financiamientos Internos,Desarrollo Social,Delegación Álvaro Obregón,0
Financiamientos Internos,Desarrollo Social,Delegación Azcapotzalco,4709208.36
Financiamientos Internos,Desarrollo Social,Delegación Benito Juárez,16579905.8
Financiamientos Internos,Desarrollo Social,Delegación Coyoacán,0
Financiamientos Internos,Desarrollo Social,Delegación Cuajimalpa De Morelos,0
Financiamientos Internos,Desarrollo Social,Delegación Cuauhtémoc,35440342.58
Financiamientos Internos,Desarrollo Social,Delegación Gustavo A. Madero,63121200.53
Financiamientos Internos,Desarrollo Social,Delegación Iztacalco,20227453.25
Financiamientos Internos,Desarrollo Social,Delegación Iztapalapa,75390678.98
Financiamientos Internos,Desarrollo Social,Delegación La Magdalena Contreras,7725092.95
Financiamientos Internos,Desarrollo Social,Delegación Miguel Hidalgo,0
Financiamientos Internos,Desarrollo Social,Delegación Milpa Alta,39768307.47
Financiamientos Internos,Desarrollo Social,Delegación Tláhuac,0
Financiamientos Internos,Desarrollo Social,Delegación Tlalpan,40610524.38
Financiamientos Internos,Desarrollo Social,Delegación Venustiano Carranza,20859222.16
Financiamientos Internos,Desarrollo Social,Delegación Xochimilco,12092966.03
Financiamientos Internos,Desarrollo Social,Fondo Para Las Acciones De Reconstrucción Y Para Otras Previsiones,0
Financiamientos Internos,Desarrollo Social,Secretaría De Obras Y Servicios,111205764.6
Financiamientos Internos,Desarrollo Social,Secretaría De Salud,0
Financiamientos Internos,Desarrollo Social,Sistema De Aguas De La Ciudad De México,523536496.2
Financiamientos Internos,Gobierno,"Centro de Comando, Control, Cómputo, Comunicaciones y Contacto Ciudadano",0
Financiamientos Internos,Otras no Clasificadas en Funciones Anteriores,Deuda Pública,2700068745
Fondo de Aportaciones Múltiples (FAM),Desarrollo Social,Fondo Para Las Acciones De Reconstrucción Y Para Otras Previsiones,0
Fondo de Aportaciones Múltiples (FAM),Desarrollo Social,Instituto Local De La Infraestructura Física Educativa,209751382.2
Fondo de Aportaciones Múltiples (FAM),Desarrollo Social,Sistema Para El Desarrollo Integral De La Familia,1024055399
Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas (FAFEF),Desarrollo Económico,Delegación Álvaro Obregón,0
Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas (FAFEF),Desarrollo Económico,Delegación Miguel Hidalgo,0
Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas (FAFEF),Desarrollo Económico,Delegación Milpa Alta,0
Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas (FAFEF),Desarrollo Económico,Secretaría De Desarrollo Económico,0
Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas (FAFEF),Desarrollo Social,Agencia De Gestión Urbana De La Ciudad De México,104867515.1
Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas (FAFEF),Desarrollo Social,Autoridad Del Espacio Público,0
Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas (FAFEF),Desarrollo Social,Delegación Álvaro Obregón,19482801.69
Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas (FAFEF),Desarrollo Social,Delegación Benito Juárez,51930376.48
Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas (FAFEF),Desarrollo Social,Delegación Coyoacán,75165310.92
Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas (FAFEF),Desarrollo Social,Delegación Cuajimalpa De Morelos,17946484.51
Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas (FAFEF),Desarrollo Social,Delegación Cuauhtémoc,8603509.07
Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas (FAFEF),Desarrollo Social,Delegación Gustavo A. Madero,112777493.3
Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas (FAFEF),Desarrollo Social,Delegación Iztacalco,51871943.9
Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas (FAFEF),Desarrollo Social,Delegación Iztapalapa,121305605.3
Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas (FAFEF),Desarrollo Social,Delegación La Magdalena Contreras,52315954.92
Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas (FAFEF),Desarrollo Social,Delegación Miguel Hidalgo,51507297.62
Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas (FAFEF),Desarrollo Social,Delegación Milpa Alta,31807032.23
Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas (FAFEF),Desarrollo Social,Delegación Tláhuac,32850294.46
Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas (FAFEF),Desarrollo Social,Delegación Tlalpan,93828712.08
Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas (FAFEF),Desarrollo Social,Delegación Venustiano Carranza,12158303.1
Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas (FAFEF),Desarrollo Social,Delegación Xochimilco,57046288.2
Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas (FAFEF),Desarrollo Social,Fondo Para Las Acciones De Reconstrucción Y Para Otras Previsiones,0
Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas (FAFEF),Desarrollo Social,Secretaría De Obras Y Servicios,43223090.71
Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas (FAFEF),Desarrollo Social,Sistema De Aguas De La Ciudad De México,166986766.8
Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas (FAFEF),Gobierno,Delegación Cuauhtémoc,0
Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas (FAFEF),Gobierno,Secretaría De Gobierno,0
Fondo de Aportaciones para el Fortalecimiento de los Municipios y las Demarcaciones Territoriales del Distrito Federal (FORTAMUN),Desarrollo Económico,Delegación Coyoacán,1606319
Fondo de Aportaciones para el Fortalecimiento de los Municipios y las Demarcaciones Territoriales del Distrito Federal (FORTAMUN),Desarrollo Económico,Delegación Milpa Alta,0
Fondo de Aportaciones para el Fortalecimiento de los Municipios y las Demarcaciones Territoriales del Distrito Federal (FORTAMUN),Desarrollo Económico,Delegación Tláhuac,315603.84
Fondo de Aportaciones para el Fortalecimiento de los Municipios y las Demarcaciones Territoriales del Distrito Federal (FORTAMUN),Desarrollo Social,Delegación Álvaro Obregón,186711299.6
Fondo de Aportaciones para el Fortalecimiento de los Municipios y las Demarcaciones Territoriales del Distrito Federal (FORTAMUN),Desarrollo Social,Delegación Benito Juárez,34092457
Fondo de Aportaciones para el Fortalecimiento de los Municipios y las Demarcaciones Territoriales del Distrito Federal (FORTAMUN),Desarrollo Social,Delegación Coyoacán,222141346.9
Fondo de Aportaciones para el Fortalecimiento de los Municipios y las Demarcaciones Territoriales del Distrito Federal (FORTAMUN),Desarrollo Social,Delegación Cuajimalpa De Morelos,53689336.33
Fondo de Aportaciones para el Fortalecimiento de los Municipios y las Demarcaciones Territoriales del Distrito Federal (FORTAMUN),Desarrollo Social,Delegación Cuauhtémoc,147607501.8
Fondo de Aportaciones para el Fortalecimiento de los Municipios y las Demarcaciones Territoriales del Distrito Federal (FORTAMUN),Desarrollo Social,Delegación Gustavo A. Madero,362411958.6
Fondo de Aportaciones para el Fortalecimiento de los Municipios y las Demarcaciones Territoriales del Distrito Federal (FORTAMUN),Desarrollo Social,Delegación Iztacalco,98162701.28
Fondo de Aportaciones para el Fortalecimiento de los Municipios y las Demarcaciones Territoriales del Distrito Federal (FORTAMUN),Desarrollo Social,Delegación Iztapalapa,562468095.4
Fondo de Aportaciones para el Fortalecimiento de los Municipios y las Demarcaciones Territoriales del Distrito Federal (FORTAMUN),Desarrollo Social,Delegación La Magdalena Contreras,76818860.48
Fondo de Aportaciones para el Fortalecimiento de los Municipios y las Demarcaciones Territoriales del Distrito Federal (FORTAMUN),Desarrollo Social,Delegación Miguel Hidalgo,53211696.42
Fondo de Aportaciones para el Fortalecimiento de los Municipios y las Demarcaciones Territoriales del Distrito Federal (FORTAMUN),Desarrollo Social,Delegación Milpa Alta,0
Fondo de Aportaciones para el Fortalecimiento de los Municipios y las Demarcaciones Territoriales del Distrito Federal (FORTAMUN),Desarrollo Social,Delegación Tláhuac,83112054.45
Fondo de Aportaciones para el Fortalecimiento de los Municipios y las Demarcaciones Territoriales del Distrito Federal (FORTAMUN),Desarrollo Social,Delegación Tlalpan,186305271.5
Fondo de Aportaciones para el Fortalecimiento de los Municipios y las Demarcaciones Territoriales del Distrito Federal (FORTAMUN),Desarrollo Social,Delegación Venustiano Carranza,129052374.2
Fondo de Aportaciones para el Fortalecimiento de los Municipios y las Demarcaciones Territoriales del Distrito Federal (FORTAMUN),Desarrollo Social,Delegación Xochimilco,63666533.85
Fondo de Aportaciones para el Fortalecimiento de los Municipios y las Demarcaciones Territoriales del Distrito Federal (FORTAMUN),Gobierno,Delegación Álvaro Obregón,197892727.4
Fondo de Aportaciones para el Fortalecimiento de los Municipios y las Demarcaciones Territoriales del Distrito Federal (FORTAMUN),Gobierno,Delegación Benito Juárez,173155349.2
Fondo de Aportaciones para el Fortalecimiento de los Municipios y las Demarcaciones Territoriales del Distrito Federal (FORTAMUN),Gobierno,Delegación Coyoacán,58422510.14
Fondo de Aportaciones para el Fortalecimiento de los Municipios y las Demarcaciones Territoriales del Distrito Federal (FORTAMUN),Gobierno,Delegación Cuajimalpa De Morelos,61044310.83
Fondo de Aportaciones para el Fortalecimiento de los Municipios y las Demarcaciones Territoriales del Distrito Federal (FORTAMUN),Gobierno,Delegación Cuauhtémoc,85392460
Fondo de Aportaciones para el Fortalecimiento de los Municipios y las Demarcaciones Territoriales del Distrito Federal (FORTAMUN),Gobierno,Delegación Gustavo A. Madero,290297056.9
Fondo de Aportaciones para el Fortalecimiento de los Municipios y las Demarcaciones Territoriales del Distrito Federal (FORTAMUN),Gobierno,Delegación Iztacalco,111854729.8
Fondo de Aportaciones para el Fortalecimiento de los Municipios y las Demarcaciones Territoriales del Distrito Federal (FORTAMUN),Gobierno,Delegación Iztapalapa,444317637.7
Fondo de Aportaciones para el Fortalecimiento de los Municipios y las Demarcaciones Territoriales del Distrito Federal (FORTAMUN),Gobierno,Delegación La Magdalena Contreras,49741032.19
Fondo de Aportaciones para el Fortalecimiento de los Municipios y las Demarcaciones Territoriales del Distrito Federal (FORTAMUN),Gobierno,Delegación Miguel Hidalgo,163871009.3
Fondo de Aportaciones para el Fortalecimiento de los Municipios y las Demarcaciones Territoriales del Distrito Federal (FORTAMUN),Gobierno,Delegación Milpa Alta,71527290.62
Fondo de Aportaciones para el Fortalecimiento de los Municipios y las Demarcaciones Territoriales del Distrito Federal (FORTAMUN),Gobierno,Delegación Tláhuac,130154192.2
Fondo de Aportaciones para el Fortalecimiento de los Municipios y las Demarcaciones Territoriales del Distrito Federal (FORTAMUN),Gobierno,Delegación Tlalpan,145939151.8
Fondo de Aportaciones para el Fortalecimiento de los Municipios y las Demarcaciones Territoriales del Distrito Federal (FORTAMUN),Gobierno,Delegación Venustiano Carranza,116671835.5
Fondo de Aportaciones para el Fortalecimiento de los Municipios y las Demarcaciones Territoriales del Distrito Federal (FORTAMUN),Gobierno,Delegación Xochimilco,134566499.9
Fondo de Aportaciones para la Infraestructura Social (FAIS),Desarrollo Social,Delegación Álvaro Obregón,0
Fondo de Aportaciones para la Infraestructura Social (FAIS),Desarrollo Social,Delegación Benito Juárez,0
Fondo de Aportaciones para la Infraestructura Social (FAIS),Desarrollo Social,Delegación Coyoacán,10647159.84
Fondo de Aportaciones para la Infraestructura Social (FAIS),Desarrollo Social,Delegación Cuajimalpa De Morelos,14856403.59
Fondo de Aportaciones para la Infraestructura Social (FAIS),Desarrollo Social,Delegación Cuauhtémoc,38050837.36
Fondo de Aportaciones para la Infraestructura Social (FAIS),Desarrollo Social,Delegación Gustavo A. Madero,43811330.8
Fondo de Aportaciones para la Infraestructura Social (FAIS),Desarrollo Social,Delegación Iztacalco,1399361.85
Fondo de Aportaciones para la Infraestructura Social (FAIS),Desarrollo Social,Delegación Iztapalapa,144148407.7
Fondo de Aportaciones para la Infraestructura Social (FAIS),Desarrollo Social,Delegación La Magdalena Contreras,16143908.17
Fondo de Aportaciones para la Infraestructura Social (FAIS),Desarrollo Social,Delegación Miguel Hidalgo,5383588.5
Fondo de Aportaciones para la Infraestructura Social (FAIS),Desarrollo Social,Delegación Milpa Alta,0
Fondo de Aportaciones para la Infraestructura Social (FAIS),Desarrollo Social,Delegación Tláhuac,35806308.03
Fondo de Aportaciones para la Infraestructura Social (FAIS),Desarrollo Social,Delegación Tlalpan,40786153.13
Fondo de Aportaciones para la Infraestructura Social (FAIS),Desarrollo Social,Delegación Venustiano Carranza,33715652.75
Fondo de Aportaciones para la Infraestructura Social (FAIS),Desarrollo Social,Delegación Xochimilco,38961285.96
Fondo de Aportaciones para la Infraestructura Social (FAIS),Desarrollo Social,Fondo Para Las Acciones De Reconstrucción Y Para Otras Previsiones,0
Fondo de Aportaciones para la Infraestructura Social (FAIS),Gobierno,Delegación Álvaro Obregón,0
Fondo de Aportaciones para la Infraestructura Social (FAIS),Gobierno,Delegación Cuajimalpa De Morelos,668251.64
Fondo de Aportaciones para la Infraestructura Social (FAIS),Gobierno,Delegación Tláhuac,1380438.7
Fondo de Aportaciones para la Seguridad Pública de los Estados y del Distrito Federal (FASP),Desarrollo Social,Procuraduría General De Justicia,800000
Fondo de Aportaciones para la Seguridad Pública de los Estados y del Distrito Federal (FASP),Gobierno,Procuraduría General De Justicia,137513735.6
Fondo de Aportaciones para la Seguridad Pública de los Estados y del Distrito Federal (FASP),Gobierno,Secretaría De Gobierno,27519544.64
Fondo de Aportaciones para la Seguridad Pública de los Estados y del Distrito Federal (FASP),Gobierno,Secretaria De La Contraloría General De La Ciudad De México,0
Fondo de Aportaciones para la Seguridad Pública de los Estados y del Distrito Federal (FASP),Gobierno,Secretaría De Seguridad Pública,137666126.3
Fondo de Aportaciones para la Seguridad Pública de los Estados y del Distrito Federal (FASP),Gobierno,Tribunal Superior De Justicia De La Ciudad De México,8905353.93
Fondo de Aportaciones para los Servicios de Salud (FASSA),Desarrollo Social,Servicios De Salud Pública,7927915073
Fondo de Aportaciones para los Servicios de Salud (FASSA),Gobierno,Servicios De Salud Pública,800000
Fondo de Fiscalización y Recaudación,Desarrollo Económico,Delegación Cuauhtémoc,453808
Fondo de Fiscalización y Recaudación,Desarrollo Económico,Delegación Miguel Hidalgo,3514363.37
Fondo de Fiscalización y Recaudación,Desarrollo Social,Delegación Álvaro Obregón,12126498
Fondo de Fiscalización y Recaudación,Desarrollo Social,Delegación Azcapotzalco,66601156.55
Fondo de Fiscalización y Recaudación,Desarrollo Social,Delegación Benito Juárez,67396507
Fondo de Fiscalización y Recaudación,Desarrollo Social,Delegación Coyoacán,5164447.99
Fondo de Fiscalización y Recaudación,Desarrollo Social,Delegación Cuajimalpa De Morelos,34980193
Fondo de Fiscalización y Recaudación,Desarrollo Social,Delegación Cuauhtémoc,99962514
Fondo de Fiscalización y Recaudación,Desarrollo Social,Delegación Gustavo A. Madero,48094513.07
Fondo de Fiscalización y Recaudación,Desarrollo Social,Delegación Iztapalapa,122798548.4
Fondo de Fiscalización y Recaudación,Desarrollo Social,Delegación La Magdalena Contreras,22881030.16
Fondo de Fiscalización y Recaudación,Desarrollo Social,Delegación Miguel Hidalgo,55451530.06
Fondo de Fiscalización y Recaudación,Desarrollo Social,Delegación Tláhuac,19404640
Fondo de Fiscalización y Recaudación,Desarrollo Social,Delegación Tlalpan,32662783
Fondo de Fiscalización y Recaudación,Desarrollo Social,Delegación Venustiano Carranza,49142064
Fondo de Fiscalización y Recaudación,Desarrollo Social,Delegación Xochimilco,20167500
Fondo de Fiscalización y Recaudación,Gobierno,Delegación Álvaro Obregón,65082701.87
Fondo de Fiscalización y Recaudación,Gobierno,Delegación Coyoacán,49496712.01
Fondo de Fiscalización y Recaudación,Gobierno,Delegación Cuajimalpa De Morelos,288513
Fondo de Fiscalización y Recaudación,Gobierno,Delegación Gustavo A. Madero,14041403.28
Fondo de Fiscalización y Recaudación,Gobierno,Delegación Iztacalco,41323755.64
Fondo de Fiscalización y Recaudación,Gobierno,Delegación Iztapalapa,570411.63
Fondo de Fiscalización y Recaudación,Gobierno,Delegación La Magdalena Contreras,1009583
Fondo de Fiscalización y Recaudación,Gobierno,Delegación Miguel Hidalgo,10230252.92
Fondo de Fiscalización y Recaudación,Gobierno,Delegación Milpa Alta,35947458.73
Fondo de Fiscalización y Recaudación,Gobierno,Delegación Tláhuac,20411321
Fondo de Fiscalización y Recaudación,Gobierno,Delegación Tlalpan,28178232.78
Fondo de Fiscalización y Recaudación,Gobierno,Delegación Xochimilco,16514588
Fondo de Fomento Municipal,Desarrollo Económico,Delegación Cuauhtémoc,24000000
Fondo de Fomento Municipal,Desarrollo Económico,Delegación La Magdalena Contreras,1784215.33
Fondo de Fomento Municipal,Desarrollo Económico,Delegación Milpa Alta,63940000
Fondo de Fomento Municipal,Desarrollo Social,Delegación Álvaro Obregón,95868782.8
Fondo de Fomento Municipal,Desarrollo Social,Delegación Azcapotzalco,155329960
Fondo de Fomento Municipal,Desarrollo Social,Delegación Benito Juárez,41631110.81
